"Анкетирование ""Опрос по IT-инфраструктуры ППС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Период проведения анкетирования: 26.12.2025 - 31.12.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Целевая аудитория: 2733;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дата формирования отчета: 22.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Опрошены 300 или 11% от найденных или 11% от целевой аудитории;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Данные по респонденту;;;;;;;;;;;;;Данные по анкете;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ анкеты;Дата заполнения анкеты;штатный;;Внутренний совместитель;;Внешний совместитель;;Иностранный преподаватель;Академическая степень;Академический статус;Полный стаж работы;Стаж работы в ВУЗе;Язык заполнения анкеты;"Ваш статус?
";"Ваш факультет:
";"Как вы оцениваете качество компьютеров в компьютерных классах?
";"Какие проблемы вы встречали? (можно выбрать несколько)
";"Как вы оцениваете работу интерактивных панелей/проекторных комплексов?
";"Какие функции наиболее полезны?
";"Уровень сигнала Wi-Fi:
";"В каких местах наблюдаются проблемы с подключением к сети Wi-Fi?
";"Вы используете университетские облачные сервисы (Microsoft 365)?
";"Насколько они удобны?
";"Какие сервисы Microsoft 365 вы считаете самыми полезными?
";"Как вы оцениваете стабильность работы университетских онлайн-систем (Платонус, Сайт, СмартЕНУ)?
";"Возникали перебои в доступе к сервисам?
";"Насколько удобно использование системы распознавания лиц/турникетов?
";"Ваши предложения по улучшению IT-инфраструктуры
";"Определите Ваш уровень владения различными цифровыми инструментами, необходимыми в рамках работы в ЕНУ им. Л.Н. Гумилева:
";"Какие цифровые инструменты вы используете в своей повседневной работе в университете?
";"Какие задачи Вы решаете с помощью этих цифровых инструментов ? Возможно несколько вариантов ответа
";"
Какие преимущества или возможности для работы Вы видите в использовании цифровых инструментов ?
";"Назовите основные проблемы или трудности, возникающие у Вас при использовании текущих цифровых инструментов
";"Какие виды обучения или поддержки по использованию цифровых инструментов Вы бы хотели получить от университета?
";"Какие цифровые инструменты необходимы лично Вам для улучшения работы?
";"Как бы вы оценили уровень цифровизации в ЕНУ им. Л.Н. Гумилева по 10-балльной шкале?
";"Насколько, по Вашему мнению, цифровые инструменты, используемые в ЕНУ им. Гумилева соответствуют образовательным целям университета?
";"Удобно ли работать с цифровыми инструментами, используемыми в ЕНУ им. Л.Н. Гумилева?
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
 Управление учебным процессом: расписания занятий, просмотра учебных материалов, записи на курсы и выполнения заданий
";"Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Совместная работа, обмен материалами, коммуникация между преподавателями и студентами
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


Оценивание и обратная связь
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:

Доступ к научным базам данных, инструментам анализа данных, программам для визуализации результатов и др.
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Управление студенческой жизнью, включая доступ к информации о студенческих мероприятиях, общежитиях, финансовой поддержке и др.
";"
Насколько хорошо цифровые инструменты интегрированы с другими системами и сервисами, используемыми в университете 
(например, с АИС &laquo;Платон&raquo;, SmartENU, сайтами, почтой и др.)?
";"Предоставляют ли цифровые инструменты возможности для инноваций в образовании и исследованиях?
";"Обеспечивают ли цифровые инструменты необходимый уровень безопасности и защиты конфиденциальных данных?
";"Насколько Вы удовлетворены функциональностью АИС &laquo;Платон&raquo;?
";"Имеете ли Вы какие-либо предложения по улучшению АИС &laquo;Платон&raquo;?
";"Какими подсистемами Вы пользуетесь в АИС SmartENU?
";"Насколько Вы удовлетворены функциональностью АИС SmartENU?
";"Оцените, насколько АИС SmartENU улучшает Вашу производительность и эффективность работы
";"Имеете ли вы какие-либо предложения по улучшению АИС SmartENU?
";"Насколько Вы удовлетворены удобством предоставления образования посредством МООК (доступность платформы, понятный интерфейс, качество видео массовых открытых онлайн курсов)?
"
22217983;2025-12-29 08:56;Кафедра Информационной безопасности;ст. преподаватель;;;;;Нет;Магистр;—;10;3;Русский язык;Бакалавр;FIT;Неудовлетворительное;Недостаточная производительность, Медленная загрузка;Хорошо;Большой экран;Удовлетворительный;в верхних этажах;Нет;Не использую;Ответ с комментарием (не использую);Плохая;Часто;Удобно;Никакие инструменты не поможет пока мы все дублируем бумажно!!!!!!!!!!!   И пусть все занимаются своими обязанностями, всю работу административных работников выполняют преподаватели!!!!!;Экспертный: глубокое понимание и мастерство в использовании цифровых инструментов, способность к инновациям и разработке новых методов.;Никакие инструменты не поможет пока мы все дублируем бумажно!!!!!!!!!!!   И пусть все занимаются своими обязанностями, всю работу административных работников выполняют преподаватели!!!!!;Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность использования цифровых инструментов для доступа к научным исследованиям, анализу данных, визуализации результатов;Недостаточное количество или отсутствие определенных функций в цифровых инструментах, необходимых для выполнения определенных задач или процессов;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;Никакие инструменты не поможет пока мы все дублируем бумажно!!!!!!!!!!!   И пусть все занимаются своими обязанностями, всю работу административных работников выполняют преподаватели!!!!!;1;Совершенно не соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;1;1;1;1;1;1;Хорошо интегрированы с другими системами и сервисами университета;Не предоставляют совсем;Скорее не обеспечивают;2;Предложении очень много, но не хочу тратить время на то что не будет рассматриваться. Если хотите реально поменять позвоните 87787350754;2.0;2.0;1.0;Очень медленно работает.;2.0
22217986;2025-12-27 18:01;Кафедра Биотехнологии и микробиологии;ст. преподаватель;;;;;Нет;Доктор PhD;—;9;3;Русский язык;Другой (ППС);фен;Неудовлетворительное;Недостаточная производительность;Плохо;Большой экран;Удовлетворительный;1 этаж, 2 этаж;Иногда;Удобны;Онлайн-документы;Хорошая;Иногда;Удобно;возможность корректировки ФИО для корпоративнхы почт,  так как мне до сих пор не смогли корретировать фамилию, хотя корпоративная почта должна использоваться во всех официальных источниках, в том числе и публикаций. Улучшение и упрощение директум.  Сделать платформы mooc, moodle более дружелюбным;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;патонус, смартену, директум, почта, майкрософт;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Сокращение затрат времени и ресурсов;Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;патонус, смартену, директум, почта, майкрософт;5;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;5;5;4;3;2;3;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;5;-;3.0;2.0;3.0;возможность редактирования планов, иногда нет доступа для заполнения документо;1.0
22217992;2025-12-27 09:45;Кафедра Алгебры и геометрии;ст. преподаватель;;;;;Нет;Кандидат наук;—;10;3;Русский язык;Другой (оқытушы);Математика-механика факультеті;Не пользовался(ась);Ответ с комментарием (Білмеймін, пайдаланып көрмегем);Плохо;Ответ с комментарием (Дәріс өтетін аудиторияларға үлкен-үлкен интербелсенді экрандардың бірнешеуін қоып тастау керек! Жаңасын, ескісін емес!);Удовлетворительный;Білмеймін;Да, активно;Удобны;Ответ с комментарием (Оффистік бағдарламалар уақыты бітті деп мазаламайды. Соған шүкір!);Удовлетворительная;Часто;Удобно;Жоқ;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Платонус, Смарт Ену;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч;Затрудняюсь ответить;Затрудняюсь ответить;Ответ с комментарием (Қолданбаймын);Онлайн тақта жақсы болар еді;7;Скорее соответствуют;Затрудняюсь ответить;7;6;6;6;6;5;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;7;білмеймін;3.0;3.0;5.0;ЖОҚ;6.0
22217999;2025-12-29 14:41;Кафедра Технология промышленного и гражданского строительства;ассоциированный профессор (доцент);;;;;Нет;Кандидат наук;ассоциированный профессор (доцент);8;3;Русский язык;Другой (к.т.н., доцент);Архитектурно-строительный факультет;Неудовлетворительное;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Плохо;Мобильность комплекса;Плохой;в аудиториях;Нет;Не использую;Ответ с комментарием (не использую);Удовлетворительная;Иногда;Удобно;Установить во всех лекционных аудиториях интерактивные экраны, то есть телевизоры, проекторы не работают, невозможно подключиться в 208 аудитории АСФ к проектору. Необходимо приносить с собой удлинители, различные шнуры и переносной проектор. Это занимает много времени при продолжительности лекции в 50 минут и большом потоке.;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;телевизоры при наличии в аудитории, инструменты ИИ;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;какие сейчас наиболее актуальны;5;Скорее соответствуют;Затрудняюсь ответить;7;6;7;7;6;3;Хорошо интегрированы с другими системами и сервисами университета;Представляют в полной мере;Обеспечивают в полной мере;9;не ставить каждую неделю оценки;7.0;4.0;4.0;чересчур много согласований при загрузке НИРМ отчетов магистрантов;5.0
22218000;2025-12-26 18:12;Кафедра Строительство;ст. преподаватель;;;;;Нет;Доктор PhD;—;3;3;Русский язык;Другой (-);АСФ;Неудовлетворительное;Медленная загрузка;Плохо;Встроенный компьютер;Хороший;-;Нет;Не использую;Онлайн-документы;Хорошая;Иногда;Удобно;-;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;-;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Сокращение затрат времени и ресурсов;Недостаточное количество или отсутствие определенных функций в цифровых инструментах, необходимых для выполнения определенных задач или процессов;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;-;2;Скорее не соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;3;3;3;3;3;2;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;2;-;2.0;2.0;2.0;-;2.0
22218024;2025-12-26 11:04;Кафедра Теории и практики иностранных языков;ассоциированный профессор (доцент);;;;;Нет;Кандидат наук;ассоциированный профессор (доцент);3;3;Русский язык;Другой (преподаватель);Высшая школа образования;Удовлетворительное;Медленная загрузка;Хорошо;Мобильность комплекса;Удовлетворительный;в небольших аудиториях;Иногда;Удобны;Облачное хранилище;Удовлетворительная;Иногда;Удобно;улучшение скорости связи, мобильные доски;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;платонус, smart enu;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;сенсорные мобильные доски;6;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;9;8;8;8;8;8;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;9;улучшение навигации;4.0;3.0;3.0;больше функционала;3.0
22218029;2025-12-26 14:22;Кафедра Фундаментальной математики;ст. преподаватель;;;;;Нет;Доктор PhD;—;26;3;Русский язык;Другой (Оқытушы);ММФ;Хорошее;Медленная загрузка;Отлично;Большой экран;Отличный;в ЦИСИ;Нет;Не использую;Корпоративная почта;Хорошая;Редко;Затрудняюсь ответить;нет;Затрудняюсь ответить;ни какой;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;не знаю;8;Затрудняюсь ответить;Затрудняюсь ответить;9;9;9;9;9;9;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;9;нет;5.0;5.0;5.0;нет;5.0
22218034;2025-12-26 09:53;Кафедра Архитектура;преподаватель;;;;;Нет;Магистр;—;3;3;Русский язык;Другой (Преподаватель);Архитектурно-строительный;Хорошее;Недостаток установленного ПО;Хорошо;Мобильность комплекса;Хороший;-;Редко;Удобны;Корпоративная почта;Удовлетворительная;Часто;Очень удобно;наладить систему платонус;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Google Meet, Teems, Zoom;Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Проблемы с безопасностью и конфиденциальностью данных при использовании цифровых инструментов, включая угрозы кибератак и утечек информации;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;-;8;В полной мере соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;9;9;9;9;8;8;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;8;-;9.0;9.0;9.0;-;9.0
22218038;2025-12-26 12:30;Кафедра Транспортная инженерия;ассоциированный профессор (доцент);;;;;Нет;Кандидат наук;ассоциированный профессор (доцент);3;3;Русский язык;Другой (АССОЦИИРОВАННЫЙ ПРОФЕССОР);ТЭФ;Удовлетворительное;Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Сенсорное управление;Плохой;ЦИСИ;Да, активно;Средне;Корпоративная почта;Хорошая;Часто;Удобно;УСТАНОВИТЬ СОЛИДВОРКС И КОМПАС;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;СОЛИДВОРКС;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Ответ с комментарием (КОНСТРУИРОВАТЬ НА ПРОГРАММЕ КОМПАС);Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;АНСИС;3;Скорее соответствуют;Работать с ними по большей части неудобно, слишком сложно;5;5;5;5;5;5;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Обеспечивают в полной мере;5;НЕТ;4.0;4.0;4.0;НЕТ;6.0
22218040;2025-12-27 12:10;Кафедра Транспортная инженерия;ст. преподаватель;;;;;Нет;Кандидат наук;—;3;3;Русский язык;Другой (ст. преподаватель);ТЭФ;Неудовлетворительное;Недостаток установленного ПО, Ответ с комментарием (Несмотря на наличие бесплатных образовательных лицензий от дистрибьюторов мирового разработчика, доступ к данному программному обеспечению для студентов не предоставляется.);Удовлетворительно;Мобильность комплекса;Плохой;ЦИСИ 4 этаж;Иногда;Средне;Облачное хранилище;Хорошая;Иногда;Удобно;мобильные компьютерные классы для каждой кафедры позволяющая цифровой трансформации, направленных на улучшение качества образования, доступность технологий для всех студентов, а также интеграцию инновационных образовательных подходов.;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;все что есть;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Недостаточное количество или отсутствие определенных функций в цифровых инструментах, необходимых для выполнения определенных задач или процессов;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;инженерные программы и свободный доступ к их установки;5;Скорее не соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;5;5;5;5;5;5;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Совсем не обеспечивают;5;возможность устанавливать расписания и выбор кабинета или лабораторных занятий;3.0;5.0;3.0;надо совместить платонус и смарт ену как одно приложения;5.0
22218069;2025-12-29 11:53;;;Кафедра Химии;ассоциированный профессор (доцент);;;Нет;Кандидат наук;ассоциированный профессор (доцент);8;12;Русский язык;Другой (ППС);ФЕН;Удовлетворительное;Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Большой экран;Удовлетворительный;везде;Нет;Не использую;Корпоративная почта;Удовлетворительная;Иногда;Удобно;нет;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Платонус, Сайт, СмартЕНУ, Директум;Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Создание сообщества пользователей цифровых инструментов, где можно обмениваться опытом и получать советы от коллег;не могу ответить;7;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;9;9;7;9;7;9;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;9;нет;3.0;3.0;3.0;нет;4.0
22218098;2025-12-29 12:14;Кафедра Педагогики;ст. преподаватель;;;;;Нет;Доктор PhD;—;3;3;Русский язык;Другой (Ппс);Высшая школа образования;Хорошее;Недостаток установленного ПО;Отлично;Мобильность комплекса;Удовлетворительный;Пользуюсь личным интернетом;Редко;Удобны;Корпоративная почта;Отличная;Редко;Удобно;Наличие программ для работы - мс офис;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Многие;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Улучшение коммуникации и совместной работы;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;-;8;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7;8;7;8;9;9;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;8;Нет;8.0;8.0;8.0;Нет;8.0
22218226;2025-12-26 20:33;Кафедра Печати и издательского дела;ст. преподаватель;;;;;Нет;Доктор PhD;—;3;3;Русский язык;Другой (Старший преподаватель);Факультет журналистики и социальных наук;Удовлетворительное;Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Сенсорное управление;Плохой;На Кафедре печати и издательского дела;Редко;Средне;Корпоративная почта;Плохая;Часто;Неудобно;Нет;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Платонус, Тимс;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;не знаю;7;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7;7;5;4;8;9;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;3;нет;4.0;4.0;4.0;нет;5.0
22218228;2025-12-26 15:34;Кафедра Дизайн и инженерная графика;ст. преподаватель;;;;;Нет;Доктор PhD;—;10;2;Русский язык;Другой (Заведующий кафедрой);Архитектурно-строительный;Хорошее;Недостаток установленного ПО;Хорошо;Встроенный компьютер;Удовлетворительный;нет;Да, активно;Очень удобны;Облачное хранилище;Удовлетворительная;Часто;Очень удобно;Установка ПО Adobe Photoshop, Illustrator, InDesign, Autodesk. Обеспечение каждого преподавателя ПК, в каждой учебной аудитории поставить ПК для преподавателя и  интерактивных панелей/проекторных комплексов,;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;все;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Улучшение качества обучения и обратной связи;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;все;6;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;9;6;8;7;7;3;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Совсем не обеспечивают;8;нет;5.0;8.0;5.0;нет;9.0
22218237;2025-12-27 08:28;Кафедра Транспортная инженерия;ст. преподаватель;;;;;Нет;Кандидат наук;—;2;2;Русский язык;Другой (преподаватель);ТЭФ;Удовлетворительное;Недостаток установленного ПО, Медленная загрузка;Отлично;Большой экран;Плохой;ЦИСИ 4 этаж;Иногда;Удобны;Онлайн-документы;Удовлетворительная;Часто;Неудобно;улучшить скорость  интернета, обеспеченность компьютерными классами,  обеспечение ППС  ноутбуками,  улучшить скорость Планоус и СмартЕНУ;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Платонус, СмартЕНУ;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Консультации и поддержку в формате онлайн-вебинаров или групповых сессий по вопросам использования цифровых инструментов;SolidWorks, Compas;5;Скорее не соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;5;6;5;6;7;5;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;5;улучшить скорость работы;3.0;4.0;3.0;ускорить скорость;5.0
22218266;2025-12-27 20:26;Кафедра Русской филологии;ст. преподаватель;;;;;Нет;Магистр;—;2;2;Русский язык;Другой (старший преподаватель, магистр);филологический;Удовлетворительное;Медленная загрузка;Удовлетворительно;Сенсорное управление;Удовлетворительный;в Главном корпусе;Иногда;Средне;Облачное хранилище;Хорошая;Иногда;Очень удобно;в Главном корпусе к интерактивной доске требуют доступ с паролем. Это очень неудобно, практически невозможно пользоваться.;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;через интерактивную доску;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Консультации и поддержку в формате онлайн-вебинаров или групповых сессий по вопросам использования цифровых инструментов;в основном интерактивная доска;7;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;10;9;9;10;9;8;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;10;все хорошо;5.0;8.0;5.0;было бы хорошо, если приходили сообщения об исполнении определенных запросов;9.0
