"Анкетирование ""Опрос по IT-инфраструктуры-студентам""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Период проведения анкетирования: 26.12.2025 - 31.12.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Целевая аудитория: 27557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Дата формирования отчета: 23.01.2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Опрошены 1231 или 4% от найденных или 4% от целевой аудитории;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Данные по респонденту;;;;;;;;Данные по анкете;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ анкеты;Дата заполнения анкеты;Академическая степень;Факультет;Кафедра;Специальность/Группа образовательных программ;Курс обучения;Язык обучения;Язык заполнения анкеты;"Ваш статус?
";"Ваш факультет:
";"Как вы оцениваете качество компьютеров в компьютерных классах?
";"Какие проблемы вы встречали? (можно выбрать несколько)
";"Как вы оцениваете работу интерактивных панелей/проекторных комплексов?
";"Какие функции наиболее полезны?
";"Уровень сигнала Wi-Fi:
";"В каких местах наблюдаются проблемы с подключением к сети Wi-Fi?
";"Вы используете университетские облачные сервисы (Microsoft 365)?
";"Насколько они удобны?
";"Какие сервисы Microsoft 365 вы считаете самыми полезными?
";"Как вы оцениваете стабильность работы университетских онлайн-систем (Платонус, Сайт, СмартЕНУ)?
";"Возникали перебои в доступе к сервисам?
";"Насколько удобно использование системы распознавания лиц/турникетов?
";"Ваши предложения по улучшению IT-инфраструктуры
";"Определите Ваш уровень владения различными цифровыми инструментами, необходимыми в рамках работы в ЕНУ им. Л.Н. Гумилева:
";"Какие цифровые инструменты вы используете в своей повседневной работе в университете?
";"Какие задачи Вы решаете с помощью этих цифровых инструментов ? Возможно несколько вариантов ответа
";"
Какие преимущества или возможности для работы Вы видите в использовании цифровых инструментов ?
";"Назовите основные проблемы или трудности, возникающие у Вас при использовании текущих цифровых инструментов
";"Какие виды обучения или поддержки по использованию цифровых инструментов Вы бы хотели получить от университета?
";"Какие цифровые инструменты необходимы лично Вам для улучшения работы?
";"Как бы вы оценили уровень цифровизации в ЕНУ им. Л.Н. Гумилева по 10-балльной шкале?
";"Насколько, по Вашему мнению, цифровые инструменты, используемые в ЕНУ им. Гумилева соответствуют образовательным целям университета?
";"Удобно ли работать с цифровыми инструментами, используемыми в ЕНУ им. Л.Н. Гумилева?
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
 Управление учебным процессом: расписания занятий, просмотра учебных материалов, записи на курсы и выполнения заданий
";"Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:
Онлайн платформы для дистанционного обучения, вебинары, электронные учебники
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Совместная работа, обмен материалами, коммуникация между преподавателями и студентами
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


Оценивание и обратная связь
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:

Доступ к научным базам данных, инструментам анализа данных, программам для визуализации результатов и др.
";"
Оцените функциональные возможности, предоставляемые цифровые инструментами в университете, по 10-балльной шкале:


 Управление студенческой жизнью, включая доступ к информации о студенческих мероприятиях, общежитиях, финансовой поддержке и др.
";"
Насколько хорошо цифровые инструменты интегрированы с другими системами и сервисами, используемыми в университете 
(например, с АИС &laquo;Платон&raquo;, SmartENU, сайтами, почтой и др.)?
";"Предоставляют ли цифровые инструменты возможности для инноваций в образовании и исследованиях?
";"Обеспечивают ли цифровые инструменты необходимый уровень безопасности и защиты конфиденциальных данных?
";"Насколько Вы удовлетворены функциональностью АИС &laquo;Платон&raquo;?
";"Имеете ли Вы какие-либо предложения по улучшению АИС &laquo;Платон&raquo;?
";"Какими подсистемами Вы пользуетесь в АИС SmartENU?
";"Насколько Вы удовлетворены функциональностью АИС SmartENU?
";"Оцените, насколько АИС SmartENU улучшает Вашу производительность и эффективность работы
";"Имеете ли вы какие-либо предложения по улучшению АИС SmartENU?
";"Насколько Вы удовлетворены удобством предоставления образования посредством МООК (доступность платформы, понятный интерфейс, качество видео массовых открытых онлайн курсов)?
"
22202026;2025-12-28 18:00;Магистратура (научно-педагогическое направление);Архитектурно-строительный;Кафедра Технология промышленного и гражданского строительства;Строительство;2;Русский язык;Русский язык;Магистрант;асф;Хорошее;Недостаток установленного ПО;Хорошо;Большой экран;Плохой;,;Нет;Не использую;Ответ с комментарием (,);Удовлетворительная;Иногда;Удобно;,;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;ворд, платонус;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Отсутствие или недостаточная техническая поддержка при возникновении проблем с цифровыми инструментами;Затрудняюсь ответить;,;3.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;4.0;4.0;4.0;4.0;4.0;4.0;Хорошо интегрированы с другими системами и сервисами университета;Не предоставляют совсем;Скорее обеспечивают;3.0;,;Подписание договоров на оказание услуг по научным проектам;4.0;2.0;,,;4.0
22202029;2025-12-26 10:51;Бакалавриат;Механико-математический;Кафедра Фундаментальной математики;Математика и статистика;2;Казахский язык;Русский язык;Бакалавр;Мехмат;Неудовлетворительное;Недостаточная производительность, Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Большой экран;Плохой;Везде;Нет;Неудобны;Онлайн-документы;Удовлетворительная;Иногда;Неудобно;.;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Ворд;Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Недостаточное количество или отсутствие определенных функций в цифровых инструментах, необходимых для выполнения определенных задач или процессов;Индивидуальные консультации и помощь специалистов по цифровым инструментам для решения специфических проблем или вопросов;.;7.0;Скорее не соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;4.0;3.0;5.0;5.0;6.0;6.0;Полностью интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее не обеспечивают;5.0;Нет;Мобильное приложение Smart.ENU, АИС «KPI ENU»;5.0;6.0;Нет;9.0
22202054;2025-12-27 11:28;Бакалавриат;Высшая школа Экономики и туризма;Кафедра Туризма;Туризм;2;Казахский язык;Русский язык;Бакалавр;Экономика;Удовлетворительное;Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Сенсорное управление;Удовлетворительный;Нет;Иногда;Удобны;Облачное хранилище;Удовлетворительная;Иногда;Удобно;Нет;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;.;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Недостаточное обучение и поддержка для эффективного использования цифровых инструментов, что создает трудности при освоении новых технологий;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;.;7.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;8.0;8.0;7.0;8.0;8.0;7.0;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;9.0;Нет;Затрудняюсь ответить;8.0;8.0;Нет;7.0
22202134;2025-12-30 19:17;Магистратура (научно-педагогическое направление);Высшая школа Журналистики и социальных наук;Кафедра Печати и издательского дела;Журналистика и репортерское дело;2;Английский язык;Русский язык;Магистрант;ФЖИС;Неудовлетворительное;Недостаток установленного ПО, Медленная загрузка;Плохо;Большой экран;Плохой;Корпус 4;Иногда;Удобны;Онлайн-документы;Удовлетворительная;Иногда;Неудобно;Нет;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;.;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;.;3.0;Скорее не соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;5.0;5.0;5.0;5.0;3.0;4.0;Хорошо интегрированы с другими системами и сервисами университета;Не предоставляют совсем;Скорее не обеспечивают;5.0;.;Сайт ЕНУ;4.0;3.0;.;4.0
22202153;2025-12-30 14:15;Магистратура (научно-педагогическое направление);Институт Естественных наук;Кафедра Биотехнологии и микробиологии;Биотехнология;2;Русский язык;Русский язык;Магистрант;ФЕН;Хорошее;Недостаток установленного ПО;Хорошо;Встроенный компьютер;Хороший;-;Да, активно;Очень удобны;Онлайн-документы;Хорошая;Редко;Очень удобно;-;Экспертный: глубокое понимание и мастерство в использовании цифровых инструментов, способность к инновациям и разработке новых методов.;-;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Сокращение затрат времени и ресурсов;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;-;8.0;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;9.0;8.0;8.0;9.0;8.0;8.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Представляют в полной мере;Обеспечивают в полной мере;8.0;-;Система онлайн голосования диссертационных советов, Планы и отчеты научных подразделений, Портал “Выпускник”, Мобильное приложение Smart.ENU, Занятость обучающихся и выпускников, АИС «KPI ENU», Сайт Бизнес-инкубатор, Общественная приемная, Сайт debat.enu.kz, Формирование плана и отчета реализации Операционного плана ЕНУ им.Л.Н. Гумилева, Сервис выдачи справки с места работы, Создание каталога нормативных документов, Терминал электронной очереди, Подсистема формирования и выдачи электронного сертификата, Хранилище заключительных отчетов проектов, Электронное подписание отчетов по постаккредитационному мониторингу, Подписание договоров на оказание услуг по научным проектам, Сайт ЕНУ, Сайт факультетов, Сайты научных журналов;8.0;8.0;-;8.0
22202293;2025-12-27 22:22;Магистратура (научно-педагогическое направление);Институт Физико–технических наук;Кафедра Радиотехника, электроника и телекоммуникации;Коммуникации и коммуникационные технологии;2;Казахский язык;Русский язык;Магистрант;ИФТН;Неудовлетворительное;Недостаточная производительность, Недостаток установленного ПО, Ответ с комментарием (Для выполнения лабораторных работ требуется более мощный ноутбук, которого может не быть у магистранта, а в учебных кабинетах на компьютерах не установлены необходимые программы- как тогда выполнять лабораторные работы? Оснастите компьютерами с программами учебные классы.);Хорошо;Сенсорное управление;Плохой;Почти везде плохое качество Интернета.;Нет;Не использую;Ответ с комментарием (Не использую.);Хорошая;Иногда;Удобно;Улучшить качество Интернета.;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;ИИ;Затрудняюсь ответить;Возможность использования цифровых инструментов для доступа к научным исследованиям, анализу данных, визуализации результатов;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Доступ к международным цифровым библиотекам.;6.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;8.0;5.0;6.0;6.0;4.0;4.0;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;8.0;Больше функций.;Затрудняюсь ответить;6.0;5.0;Надо доработать.;8.0
22202298;2025-12-26 23:31;Магистратура (научно-педагогическое направление);Филологический;Кафедра Иностранной филологии;Иностранная филология;2;Русский язык;Русский язык;Магистрант;иностранная филология;Хорошее;Медленная загрузка;Хорошо;Большой экран;Удовлетворительный;в аудитории 328 УЛК;Нет;Не использую;Ответ с комментарием (не использую);Удовлетворительная;Часто;Очень удобно;улучшить работу смарт.;Начинающий: минимальные знания и опыт использования цифровых инструментов.;платонус, смарт, курсера;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;----;7.0;Затрудняюсь ответить;Затрудняюсь ответить;8.0;8.0;7.0;7.0;7.0;7.0;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;9.0;нет;Затрудняюсь ответить;6.0;1.0;только усложняет задачу. Приходится помимо бумажных отчетов дублировать все в смарт ену. Удваивает только работу;6.0
22202318;2025-12-26 21:05;Магистратура (научно-педагогическое направление);Институт Естественных наук;Кафедра Химии;Химия;2;Английский язык;Русский язык;Магистрант;ФЕН;Не пользовался(ась);Нет проблем;Удовлетворительно;Сенсорное управление;Хороший;во время перерывов в коридорах;Нет;Не использую;Облачное хранилище;Хорошая;Редко;Удобно;тяжело разобраться с корпоративной почтой и ее функциями;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;Microsoft 365;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий, Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Управление временем и задачами: планирование расписания, создание списка дел, отслеживание сроков выполнения задач, Управление обучением и оцениванием: проведение тестирования, отслеживание успеваемости студентов, предоставление обратной связи, Управление административными задачами: ведение учета студентов, подготовка отчетов, оформление документов, взаимодействие с учебным персоналом и администрацией, Участие в профессиональном развитии: доступ к онлайн-курсам, сетевое общение с коллегами, участие в вебинарах и тренингах;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Недостаточное обучение и поддержка для эффективного использования цифровых инструментов, что создает трудности при освоении новых технологий;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;доступ к проф. software;5.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7.0;5.0;5.0;5.0;5.0;4.0;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;7.0;нет;Портал “Выпускник”;7.0;5.0;нет;5.0
22202329;2025-12-29 15:43;Магистратура (научно-педагогическое направление);Международных отношений;Кафедра Политологии;Политология и конфликтология;2;Русский язык;Русский язык;Магистрант;факультет международных отношений и политологии;Не пользовался(ась);Ответ с комментарием (не знаю какое у них состояние);Хорошо;Сенсорное управление;Удовлетворительный;главный корпус и фсн;Да, активно;Очень удобны;Ответ с комментарием (docx and xlsx);Плохая;Редко;Неудобно;скуд и турникеты слабые нужно всегда снимать шапки и убирать волосы бесит жесть;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;свой ноутбук онли;Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями, Затрудняюсь ответить;Улучшение качества обучения и обратной связи;Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Обучение по вопросам кибербезопасности и защиты данных при работе с цифровыми инструментами;раздражает что нужно заходить в платонус то потом в поисках инфы на сайт где он корявый, и потом этот смарт ену бестолковая система если честно. и еще mooc enu. нафига нам это все? сделайте в платонусе интеграцию боже;6.0;Скорее не соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;6.0;2.0;1.0;5.0;4.0;5.0;Практически не интегрированы с другими системами и сервисами университета;Не предоставляют совсем;Совсем не обеспечивают;4.0;темный режим и полностью переделать фронтенд;Затрудняюсь ответить;6.0;5.0;уберите ее вообще и там баг что часто спраишвает роль у студента;3.0
22202365;2025-12-27 08:58;Магистратура (научно-педагогическое направление);Высшая школа Экономики и туризма;Кафедра Учет и анализ;Аудит и налогообложение;2;Казахский язык;Русский язык;Магистрант;Экономический;Удовлетворительное;Недостаток установленного ПО, Медленная загрузка;Удовлетворительно;Встроенный компьютер;Удовлетворительный;В отдаленных кабинетах;Иногда;Средне;Онлайн-документы;Удовлетворительная;Иногда;Удобно;Модернизация инфраструктуры;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;Word, PowerPoint;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Затрудняюсь ответить;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;AutoCAD;4.0;Скорее соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;5.0;5.0;6.0;6.0;6.0;5.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;5.0;Улучшить производительность;Сайт ЕНУ;5.0;5.0;Не зависал;5.0
22202392;2025-12-29 00:39;Магистратура (научно-педагогическое направление);Архитектурно-строительный;Кафедра Технология промышленного и гражданского строительства;Производство строительных материалов, изделий и конструкций;2;Казахский язык;Русский язык;Магистрант;АСФ;Отличное;Нет проблем;Отлично;Сенсорное управление;Удовлетворительный;в подвале;Иногда;Средне;Облачное хранилище;Плохая;Часто;Удобно;нет предложении;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;ворд;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;никаких;5.0;В полной мере соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;5.0;5.0;5.0;5.0;5.0;5.0;Практически не интегрированы с другими системами и сервисами университета;Представляют в полной мере;Обеспечивают в полной мере;5.0;нет;Система онлайн голосования диссертационных советов;5.0;5.0;нет;5.0
22202466;2025-12-27 17:12;Магистратура (научно-педагогическое направление);Архитектурно-строительный;Кафедра Строительство;Инженерные системы и сети;2;Казахский язык;Русский язык;Магистрант;АСФ;Отличное;Недостаточная производительность;Отлично;Сенсорное управление;Отличный;ООО;Да, активно;Очень удобны;Облачное хранилище;Отличная;Часто;Очень удобно;ОО;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;ОО;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Неудобный интерфейс или сложные функции цифровых инструментов, что требует дополнительного времени и усилий для освоения их работы;Консультации и поддержку в формате онлайн-вебинаров или групповых сессий по вопросам использования цифровых инструментов;О;10.0;Скорее не соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;9.0;6.0;8.0;9.0;9.0;8.0;Хорошо интегрированы с другими системами и сервисами университета;Представляют в полной мере;Обеспечивают в полной мере;7.0;4;Мобильное приложение Smart.ENU, Сайт ЕНУ;8.0;8.0;4;4.0
22202481;2025-12-29 11:45;Магистратура (научно-педагогическое направление);Институт Цифровых наук и искусственного интеллекта;Кафедра Информационной безопасности;Информационная безопасность;2;Русский язык;Русский язык;Магистрант;Факультет информационных технолгий;Хорошее;Медленная загрузка;Хорошо;Большой экран;Удовлетворительный;-;Редко;Удобны;Онлайн-документы;Хорошая;Иногда;Удобно;-;Базовый: основные навыки в работе с цифровыми инструментами, но требуется дополнительное обучение;Microsoft Outlook;Организация учебного процесса: создание и проведение онлайн-уроков, размещение учебных материалов, создание и проверка заданий;Увеличение гибкости и мобильности, возможность работать удаленно или в пути;Постоянные проблемы с подключением к сети интернет или низкая скорость, что затрудняет доступ к цифровым ресурсам и выполнение задач;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;Microsoft 365;7.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7.0;7.0;7.0;7.0;7.0;7.0;Ограниченно интегрированы, только с некоторыми системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;7.0;Нет;Система онлайн голосования диссертационных советов;7.0;7.0;нет;8.0
22202482;2025-12-26 10:30;Магистратура (научно-педагогическое направление);Институт Естественных наук;Кафедра Химии;Подготовка педагогов химии (казахский, русский, английский языки);2;Казахский язык;Русский язык;Магистрант;Жаратлыстану;Хорошее;Нет проблем;Удовлетворительно;Мобильность комплекса;Хороший;На четвертом этаже;Да, активно;Очень удобны;Корпоративная почта;Хорошая;Иногда;Очень удобно;-;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;-;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Отсутствие интеграции цифровых инструментов с другими системами и сервисами, что приводит к сложностям;Затрудняюсь ответить;-;8.0;Скорее соответствуют;Есть некоторые сложности, с которыми сталкиваешься в работе;7.0;8.0;8.0;8.0;8.0;8.0;Полностью интегрированы с другими системами и сервисами университета;Представляют в полной мере;Обеспечивают в полной мере;8.0;-;Планы и отчеты научных подразделений;8.0;8.0;-;8.0
22202498;2025-12-29 17:50;Магистратура (научно-педагогическое направление);Филологический;Кафедра Казахской литературы;Подготовка педагогов казахского языка и литературы;2;Казахский язык;Русский язык;Магистрант;филология;Хорошее;Нет проблем;Хорошо;Сенсорное управление;Хороший;-;Нет;Не использую;Ответ с комментарием (.);Отличная;Редко;Удобно;.;Средний: уверенное владение основными цифровыми инструментами, способность эффективно выполнять задачи.;.;Ответ с комментарием (.);Возможность выполнять задачи быстрее и эффективнее благодаря автоматизации процессов и доступу к информации в реальном времени;Ответ с комментарием (-);Ответ с комментарием (-);-;10.0;В полной мере соответствуют;Работать с ними очень удобно и просто;10.0;10.0;9.0;9.0;9.0;9.0;Хорошо интегрированы с другими системами и сервисами университета;Предоставляют частично;Скорее обеспечивают;9.0;-;Сайт ЕНУ;9.0;9.0;-;9.0
22202508;2025-12-26 16:20;Магистратура (научно-педагогическое направление);Высшая школа Экономики и туризма;Кафедра Туризма;Ресторанное дело и гостиничный бизнес;2;Казахский язык;Русский язык;Магистрант;Экономика;Удовлетворительное;Недостаток установленного ПО;Хорошо;Большой экран;Хороший;-;Да, активно;Очень удобны;Онлайн-документы;Отличная;Иногда;Удобно;-;Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;-;Совместная работа и коммуникация: совместное редактирование документов, обмен файлами, обсуждение проектов и задач, проведение онлайн-встреч, Управление учебными исследованиями: поиск и анализ академических ресурсов, управление исследовательских проектов, совместная работа над научными публикациями;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Неудобный интерфейс или сложные функции цифровых инструментов, что требует дополнительного времени и усилий для освоения их работы;Обучающие курсы и тренинги по использованию конкретных цифровых инструментов, таких как платформы для онлайн-обучения, офисные приложения, научные базы данных и др.;-;3.0;Скорее не соответствуют;Работать с ними очень удобно и просто;9.0;8.0;4.0;8.0;8.0;5.0;Полностью интегрированы с другими системами и сервисами университета;Затрудняюсь ответить;Скорее не обеспечивают;8.0;-;Электронное подписание отчетов по постаккредитационному мониторингу;6.0;4.0;-;4.0
22202547;2025-12-26 17:47;Бакалавриат;Институт Цифровых наук и искусственного интеллекта;Кафедра Информационных систем;Информационные технологии;3;Казахский язык;Русский язык;Бакалавр;фит;Отличное;Нет проблем;Отлично;Сенсорное управление;Удовлетворительный;в многих местах но это временно;Да, активно;Очень удобны;Облачное хранилище;Удовлетворительная;Иногда;Очень удобно;поменять учителей);Продвинутый: высокий уровень навыков в использовании цифровых инструментов, способность решать сложные задачи.;цифровые;Затрудняюсь ответить;Улучшение качества обучения и обратной связи;Проблемы с безопасностью и конфиденциальностью данных при использовании цифровых инструментов, включая угрозы кибератак и утечек информации;Доступ к обучающим материалам и руководствам (видеоуроки, инструкции, FAQ) по использованию цифровых инструментов;не знаю;5.0;Затрудняюсь ответить;Есть некоторые сложности, с которыми сталкиваешься в работе;5.0;5.0;4.0;5.0;4.0;5.0;Затрудняюсь ответить;Затрудняюсь ответить;Затрудняюсь ответить;6.0;нет;Затрудняюсь ответить;6.0;4.0;нет;5.0
22202662;2025-12-30 15:00;Магистратура (научно-педагогическое направление);Механико-математический;Кафедра Алгебры и геометрии;Подготовка педагогов математики;2;Казахский язык;Русский язык;Магистрант;мехмат;Удовлетворительное;Нет проблем;Отлично;Сенсорное управление;Хороший;нигде;Редко;Удобны;Онлайн-документы;Отличная;Никогда;Очень удобно;нет;Начинающий: минимальные знания и опыт использования цифровых инструментов.;-;Затрудняюсь ответить;Доступ к необходимой информации из любого места и в любое время через онлайн-сервисы и цифровые инструменты (облачные хранилища данных или электронные библиотеки);Затрудняюсь ответить;Затрудняюсь ответить;*;10.0;В полной мере соответствуют;Инструменты легки в использовании, легко осваиваются и комфортны;10.0;10.0;10.0;10.0;10.0;10.0;Хорошо интегрированы с другими системами и сервисами университета;Представляют в полной мере;Обеспечивают в полной мере;10.0;нет;Сайт ЕНУ;10.0;10.0;нет;9.0
